Number of lines read,Execution time for encoding,Execution time for decoding
100,0.005661964416503906,5.984306335449219e-05
1100,0.03724479675292969,0.0004868507385253906
2100,0.07010507583618164,0.0009138584136962891
3100,0.10323405265808105,0.0012471675872802734
4100,0.13737702369689941,0.0018389225006103516
5100,0.17364025115966797,0.002193927764892578
6100,0.20250415802001953,0.002501964569091797
7100,0.2398219108581543,0.0029840469360351562
8100,0.27417993545532227,0.0033371448516845703
9100,0.3070998191833496,0.0038061141967773438
